"participant_id","complex","simple","ambiguous","unambiguous","nfc","ospan","asq","stroop","crt","iq","nfc_rescaled","ospan_rescaled","asq_rescaled","stroop_rescaled","iq_rescaled","crt_rescaled","study"
43,0.916666666666667,1,0.333333333333333,1,3.16666666666667,0.925,19,0.497558591314092,0.571428571428571,5,0.541666666666668,0.880398671096346,0.363636363636364,0.497558591314092,0.5,0.571428571428571,"pilot"
44,0.666666666666667,1,0.333333333333333,1,2.83333333333333,0.979166666666667,19,0.605223959334714,0.285714285714286,7,0.458333333333332,0.966777408637874,0.363636363636364,0.605223959334714,0.75,0.285714285714286,"pilot"
45,0.5,0.583333333333333,0.222222222222222,1,4,0.935416666666667,19,0.359947020618362,0.166666666666667,5,0.75,0.897009966777409,0.363636363636364,0.359947020618362,0.5,0.166666666666667,"pilot"
46,0.833333333333333,1,0.222222222222222,1,3.16666666666667,0.928125,29,0.321209493597531,0.666666666666667,6,0.541666666666668,0.885382059800664,0.666666666666667,0.321209493597531,0.625,0.666666666666667,"pilot"
47,0.166666666666667,0.666666666666667,0.555555555555556,0.96969696969697,4,0.984375,17,0.453002870294399,0.142857142857143,7,0.75,0.975083056478405,0.303030303030303,0.453002870294399,0.75,0.142857142857143,"pilot"
48,0.416666666666667,0.916666666666667,0.444444444444444,0.939393939393939,NA,0.9375,18,NA,0,3,NA,0.899497487437186,0.314285714285714,NA,0.3,0,"main"
49,0.916666666666667,1,0.555555555555556,0.96969696969697,NA,0.9875,17,NA,0.833333333333333,8,NA,0.979899497487437,0.285714285714286,NA,0.8,0.833333333333333,"main"
50,0.166666666666667,0.75,0.444444444444444,0.939393939393939,NA,0.9,21,NA,0.166666666666667,3,NA,0.839195979899498,0.4,NA,0.3,0.166666666666667,"main"
51,0.5,1,0.666666666666667,0.96969696969697,NA,0.984375,23,NA,0.666666666666667,6,NA,0.974874371859296,0.457142857142857,NA,0.6,0.666666666666667,"main"
52,0.583333333333333,0.75,0.555555555555556,0.818181818181818,NA,0.689583333333333,20,NA,0.333333333333333,3,NA,0.500837520938023,0.371428571428571,NA,0.3,0.333333333333333,"main"
53,0.75,1,0.222222222222222,0.96969696969697,NA,0.9625,24,NA,0.6,7,NA,0.939698492462312,0.485714285714286,NA,0.7,0.6,"main"
54,0.416666666666667,0.75,0.222222222222222,0.96969696969697,NA,1,22,NA,0.6,8,NA,1,0.428571428571429,NA,0.8,0.6,"main"
55,0.583333333333333,0.916666666666667,0.444444444444444,0.96969696969697,NA,0.975,19,NA,0.5,6,NA,0.959798994974874,0.342857142857143,NA,0.6,0.5,"main"
56,0.75,1,0.666666666666667,0.96969696969697,NA,0.971875,29,NA,0.2,4,NA,0.954773869346734,0.628571428571429,NA,0.4,0.2,"main"
57,0.5,1,0.222222222222222,0.939393939393939,NA,1,26,NA,0.5,6,NA,1,0.542857142857143,NA,0.6,0.5,"main"
58,0.333333333333333,0.833333333333333,0.111111111111111,0.96969696969697,NA,0.392708333333333,25,NA,0.5,5,NA,0.023450586264656,0.514285714285714,NA,0.5,0.5,"main"
59,0.5,1,0.444444444444444,0.96969696969697,NA,0.941666666666667,18,NA,0.166666666666667,6,NA,0.906197654941374,0.314285714285714,NA,0.6,0.166666666666667,"main"
60,0.333333333333333,0.833333333333333,0.444444444444444,0.939393939393939,NA,0.378125,30,NA,0.166666666666667,3,NA,0,0.657142857142857,NA,0.3,0.166666666666667,"main"
61,0.583333333333333,0.583333333333333,0.444444444444444,0.96969696969697,NA,0.954166666666667,28,NA,0,3,NA,0.926298157453937,0.6,NA,0.3,0,"main"
62,0.416666666666667,0.916666666666667,0.555555555555556,0.96969696969697,NA,0.915625,36,NA,0.666666666666667,9,NA,0.864321608040201,0.828571428571429,NA,0.9,0.666666666666667,"main"
63,0.333333333333333,1,0.333333333333333,0.96969696969697,NA,1,16,NA,0.6,4,NA,1,0.257142857142857,NA,0.4,0.6,"main"
64,0.833333333333333,0.833333333333333,0.666666666666667,0.96969696969697,NA,0.909375,13,NA,0.25,8,NA,0.85427135678392,0.171428571428571,NA,0.8,0.25,"main"
65,0.666666666666667,0.583333333333333,0.333333333333333,0.96969696969697,NA,0.971875,12,NA,0.5,6,NA,0.954773869346734,0.142857142857143,NA,0.6,0.5,"main"
66,0.666666666666667,0.666666666666667,0.555555555555556,0.909090909090909,NA,0.897916666666667,25,NA,0.25,2,NA,0.835845896147404,0.514285714285714,NA,0.2,0.25,"main"
67,0.25,1,0.555555555555556,0.909090909090909,NA,0.971875,21,NA,0.5,7,NA,0.954773869346734,0.4,NA,0.7,0.5,"main"
68,0,0,0,0.939393939393939,NA,1,28,NA,0.5,8,NA,1,0.6,NA,0.8,0.5,"main"
69,0.5,1,0.777777777777778,0.96969696969697,NA,0.7875,21,NA,0.25,6,NA,0.658291457286432,0.4,NA,0.6,0.25,"main"
70,0.166666666666667,0.5,0,0.848484848484849,NA,0.926041666666667,7,NA,0.5,2,NA,0.881072026800671,0,NA,0.2,0.5,"main"
71,0.666666666666667,0.833333333333333,0.777777777777778,0.96969696969697,NA,0.790625,11,NA,0,5,NA,0.663316582914573,0.114285714285714,NA,0.5,0,"main"
72,0.416666666666667,0.75,0.444444444444444,0.909090909090909,NA,0.925,17,NA,0.4,3,NA,0.879396984924623,0.285714285714286,NA,0.3,0.4,"main"
73,0.25,1,0.444444444444444,0.848484848484849,NA,0.979166666666667,19,NA,1,6,NA,0.966499162479062,0.342857142857143,NA,0.6,1,"main"
74,0.75,1,0.333333333333333,0.96969696969697,NA,1,27,NA,0.666666666666667,10,NA,1,0.571428571428571,NA,1,0.666666666666667,"main"
75,0.916666666666667,0.916666666666667,0.777777777777778,0.939393939393939,NA,1,20,NA,0.4,7,NA,1,0.371428571428571,NA,0.7,0.4,"main"
